Treatment,Consanguinity,Pref,Trial
Control,0,0.333333333,1
Control,0.125,0.666666667,1
Control,0.25,0.333333333,1
Control,0.375,0.5,1
Control,0.5,0.166666667,1
Control,0,0.25,2
Control,0.125,0.5,2
Control,0.25,0.2,2
Control,0.375,0.4,2
Control,0.5,0,2
Control,0,0.25,3
Control,0.125,0.428571429,3
Control,0.25,0.4,3
Control,0.375,0.25,3
Control,0.5,0.140137437,3
Control,0,0.333333333,4
Control,0.125,0.142857143,4
Control,0.25,0.25,4
Control,0.375,0.4,4
Control,0.5,0.125,4
Control,0,0.428571429,5
Control,0.125,0.2,5
Control,0.25,0.5,5
Control,0.375,0.428571429,5
Control,0.5,0.125,5
Control,0,0.8,6
Control,0.125,0.166666667,6
Control,0.25,0.363636364,6
Control,0.375,0.4,6
Control,0.5,0.1,6
Control,0,0.625,7
Control,0.125,0.375,7
Control,0.25,0.6,7
Control,0.375,0.230769231,7
Control,0.5,0.5,7
Control,0,0.166666667,8
Control,0.125,0.285714286,8
Control,0.25,0.1,8
Control,0.375,0.25,8
Control,0.5,0.142857143,8
Control,0,0.6,9
Control,0.125,0.571428571,9
Control,0.25,0.5,9
Control,0.375,0.4,9
Control,0.5,0.111111111,9
Control,0,0.666666667,10
Control,0.125,0.4,10
Control,0.25,0.333333333,10
Control,0.375,0.2,10
Control,0.5,0.125,10
Control,0,0.636363636,11
Control,0.125,0.5,11
Control,0.25,0.375,11
Control,0.375,0.666666667,11
Control,0.5,0.083333333,11
Control,0,0.222222222,12
Control,0.125,0.4,12
Control,0.25,0.25,12
Control,0.375,0.4,12
Control,0.5,0.333333333,12
Control,0,0.166666667,13
Control,0.125,0.4,13
Control,0.25,0.3,13
Control,0.375,0.066666667,13
Control,0.5,0,13
Control,0,0.166666667,14
Control,0.125,0.5,14
Control,0.25,0.125,14
Control,0.375,0,14
Control,0.5,0.2,14
Control,0,0.714285714,15
Control,0.125,0.333333333,15
Control,0.25,0.416666667,15
Control,0.375,0.25,15
Control,0.5,0.125,15
Control,0,0.125,16
Control,0.125,0.428571429,16
Control,0.25,0.25,16
Control,0.375,0.5,16
Control,0.5,0.5,16
Control,0,0.266666667,17
Control,0.125,0.333333333,17
Control,0.25,0.1,17
Control,0.375,0.222222222,17
Control,0.5,0.125,17
Control,0,0.7,18
Control,0.125,0.5,18
Control,0.25,0.2,18
Control,0.375,0,18
Control,0.5,0,18
Control,0,0.125,19
Control,0.125,0.375,19
Control,0.25,0.5,19
Control,0.375,0.142857143,19
Control,0.5,0,19
Control,0,0,20
Control,0.125,0.25,20
Control,0.25,0,20
Control,0.375,0.1,20
Control,0.5,0,20
Control,0,0.636363636,21
Control,0.125,0.4,21
Control,0.25,0.444444444,21
Control,0.375,0.333333333,21
Control,0.5,0.333333333,21
Control,0,0.733333333,22
Control,0.125,0.2,22
Control,0.25,0.25,22
Control,0.375,0.125,22
Control,0.5,0.25,22
Control,0,0.428571429,23
Control,0.125,0.25,23
Control,0.25,0.428571429,23
Control,0.375,0.125,23
Control,0.5,0,23
Control,0,0.6,24
Control,0.125,0.444444444,24
Control,0.25,0.333333333,24
Control,0.375,0.166666667,24
Control,0.5,0,24
Control,0,0.214285714,25
Control,0.125,0.4,25
Control,0.25,0.571428571,25
Control,0.375,0.125,25
Control,0.5,0.1,25
Control,0,0.785714286,26
Control,0.125,0.25,26
Control,0.25,0.25,26
Control,0.375,0,26
Control,0.5,0,26
Control,0,0.5,27
Control,0.125,0.333333333,27
Control,0.25,0.166666667,27
Control,0.375,0.333333333,27
Control,0.5,0.1,27
Control,0,0.375,28
Control,0.125,0.5,28
Control,0.25,0.4,28
Control,0.375,0.2,28
Control,0.5,0,28
Control,0,0.076923077,29
Control,0.125,0.6,29
Control,0.25,0.5,29
Control,0.375,0,29
Control,0.5,0.083333333,29
Control,0,0.866666667,30
Control,0.125,0.285714286,30
Control,0.25,0.5,30
Control,0.375,0.111111111,30
Control,0.5,0,30
Control,0,0.866666667,31
Control,0.125,0.230769231,31
Control,0.25,0,31
Control,0.375,0.111111111,31
Control,0.5,0,31
Control,0,0.333333333,32
Control,0.125,0.166666667,32
Control,0.25,0.285714286,32
Control,0.375,0.166666667,32
Control,0.5,0.066666667,32
Control,0,0.888888889,33
Control,0.125,0.5,33
Control,0.25,0,33
Control,0.375,0.25,33
Control,0.5,0,33
Control,0,0.25,34
Control,0.125,0.25,34
Control,0.25,0.375,34
Control,0.375,0,34
Control,0.5,0,34
Control,0,0.333333333,35
Control,0.125,1,35
Control,0.25,0.125,35
Control,0.375,0.125,35
Control,0.5,0,35
Control,0,0.545454545,36
Control,0.125,0.5,36
Control,0.25,0.25,36
Control,0.375,0.125,36
Control,0.5,0,36
Control,0,0.75,37
Control,0.125,0.222222222,37
Control,0.25,0.4,37
Control,0.375,0.125,37
